RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-05-31,2023-07-31,2024-04-30
395128,338,"Staunton, VA",msa,VA,2023-04-30,0.8,2.0,3.9
394353,339,"Augusta, ME",msa,ME,2023-04-30,1.7,4.7,7.3
394321,340,"Altoona, PA",msa,PA,2023-04-30,0.6,1.3,-1.5
394905,341,"New Bern, NC",msa,NC,2023-04-30,1.4,3.2,6.5
394588,342,"Farmington, NM",msa,NM,2023-04-30,0.7,1.7,1.3
395120,343,"St. Joseph, MO",msa,MO,2023-04-30,1.1,3.0,5.4
395054,344,"San Angelo, TX",msa,TX,2023-04-30,0.9,2.3,5.5
395218,345,"Wenatchee, WA",msa,WA,2023-04-30,0.9,2.4,5.3
394949,346,"Owensboro, KY",msa,KY,2023-04-30,0.9,2.4,4.2
753890,347,"Holland, MI",msa,MI,2023-04-30,0.9,2.4,4.0
394810,348,"Lumberton, NC",msa,NC,2023-04-30,1.1,2.6,5.7
394778,349,"Lawrence, KS",msa,KS,2023-04-30,1.1,1.9,3.1
394635,350,"Goldsboro, NC",msa,NC,2023-04-30,0.9,2.1,1.5
395213,351,"Watertown, NY",msa,NY,2023-04-30,0.9,2.7,2.2
395089,352,"Sheboygan, WI",msa,WI,2023-04-30,1.1,2.5,2.9
395217,353,"Weirton, WV",msa,OH,2023-04-30,0.9,2.5,3.7
394867,354,"Missoula, MT",msa,MT,2023-04-30,0.9,2.0,5.3
